Pressure, Temperature, X_ch4,X_CO2, ch4_uptake, co2_uptake,ch4_diff,co2_diff
3000000.09,380,0.884,0.116,33.89422,12.68184,3.00E-08,1.12E-08
3000000.09,380,0.788,0.212,29.15114,22.66566,1.94E-08,1.78E-08
3000000.09,380,0.692,0.308,24.79252,32.38142,2.13E-08,1.43E-08
3000000.09,380,0.596,0.404,20.5803,41.43116,1.00E-08,1.46E-08
3000000.09,380,0.5,0.5,16.602,50.26,1.62E-08,1.62E-08
3000000.09,380,0.404,0.596,12.94292,58.49976,1.64E-08,1.57E-08
3000000.09,380,0.308,0.692,9.47446,66.14908,2.41E-08,1.42E-08
3000000.09,380,0.212,0.788,6.28686,73.21108,1.91E-08,1.40E-08
3000000.09,380,0.116,0.884,3.30912,80.0263,2.23E-08,1.43E-08
3000000.09,380,0.02,0.98,0.54448,86.05942,2.51E-09,1.41E-08
3000000.09,400,0.98,0.02,33.17896,1.70314,2.39E-08,1.82E-08
3000000.09,400,0.884,0.116,29.38092,9.60416,2.49E-08,7.40E-09
3000000.09,400,0.788,0.212,25.52018,17.40648,2.14E-08,8.12E-09
3000000.09,400,0.692,0.308,21.75694,25.01716,1.98E-08,1.74E-08
3000000.09,400,0.596,0.404,18.38024,32.43846,2.24E-08,1.75E-08
3000000.09,400,0.5,0.5,15.03082,39.41044,2.28E-08,2.14E-08
3000000.09,400,0.404,0.596,11.84352,45.88906,1.45E-08,1.15E-08
3000000.09,400,0.308,0.692,8.75876,52.56934,2.16E-08,1.47E-08
3000000.09,400,0.212,0.788,5.87654,58.6241,3.12E-08,1.93E-08
3000000.09,400,0.116,0.884,3.1256,64.42688,2.54E-08,1.51E-08
3000000.09,400,0.02,0.98,0.52852,70.20604,2.37E-09,1.40E-08
4500000.085,200,0.98,0.02,86.7326,96.78168,1.75E-09,2.26E-09
4500000.085,200,0.884,0.116,45.37932,145.70916,1.46E-09,2.32E-09
4500000.085,200,0.788,0.212,33.7479,159.98562,1.60E-09,2.14E-09
4500000.085,200,0.692,0.308,28.52672,166.69052,1.65E-09,1.98E-09
4500000.085,200,0.596,0.404,24.72368,170.80224,1.31E-09,1.89E-09
4500000.085,200,0.5,0.5,20.88352,176.54572,7.95E-10,1.95E-09
4500000.085,200,0.404,0.596,17.14542,180.6084,7.85E-10,2.05E-09
4500000.085,200,0.308,0.692,14.7503,183.0551,1.13E-09,2.19E-09
4500000.085,200,0.212,0.788,11.07562,189.31744,1.03E-09,2.01E-09
4500000.085,200,0.116,0.884,7.36334,191.42332,8.00E-10,1.91E-09
4500000.085,200,0.02,0.98,1.68322,197.90464,4.62E-10,1.87E-09
4500000.085,220,0.98,0.02,98.99008,70.97804,3.12E-09,2.81E-09
4500000.085,220,0.884,0.116,30.44386,156.85982,1.50E-09,2.69E-09
4500000.085,220,0.788,0.212,16.8652,174.98184,1.73E-09,2.17E-09
4500000.085,220,0.692,0.308,20.94578,167.6399,1.56E-09,2.47E-09
4500000.085,220,0.596,0.404,25.26236,164.89104,2.12E-09,2.73E-09
4500000.085,220,0.5,0.5,22.64018,167.37238,1.50E-09,2.37E-09
4500000.085,220,0.404,0.596,18.29716,172.80584,2.08E-09,2.04E-09
4500000.085,220,0.308,0.692,15.92162,175.72784,1.34E-09,2.58E-09
4500000.085,220,0.212,0.788,11.32092,181.2873,2.48E-09,2.53E-09
4500000.085,220,0.116,0.884,6.81848,186.70758,1.82E-09,2.65E-09
4500000.085,220,0.02,0.98,1.3526,192.6065,3.55E-09,2.57E-09
4500000.085,240,0.98,0.02,105.47954,46.00646,4.94E-09,4.09E-09
4500000.085,240,0.884,0.116,44.38546,128.46896,3.50E-09,3.46E-09
4500000.085,240,0.788,0.212,23.78956,156.95466,2.01E-09,3.46E-09
4500000.085,240,0.692,0.308,15.45976,167.92734,2.42E-09,3.08E-09
4500000.085,240,0.596,0.404,10.7889,175.89872,2.51E-09,3.03E-09
4500000.085,240,0.5,0.5,12.32084,171.77066,2.91E-09,2.70E-09
4500000.085,240,0.404,0.596,18.64506,164.57078,2.57E-09,3.25E-09
4500000.085,240,0.308,0.692,14.776,169.43496,2.68E-09,3.31E-09
4500000.085,240,0.212,0.788,10.85896,175.32502,1.89E-09,2.81E-09
4500000.085,240,0.116,0.884,6.63242,179.62482,2.43E-09,3.11E-09
4500000.085,240,0.02,0.98,1.3502,185.6504,3.83E-09,3.33E-09
4500000.085,260,0.98,0.02,104.35212,28.03464,6.23E-09,8.74E-09
4500000.085,260,0.884,0.116,54.83268,101.97118,4.00E-09,3.82E-09
4500000.085,260,0.788,0.212,32.73144,133.66708,3.39E-09,3.78E-09
4500000.085,260,0.692,0.308,21.57198,149.44536,2.34E-09,4.24E-09
4500000.085,260,0.596,0.404,14.5727,160.04118,3.12E-09,3.97E-09
4500000.085,260,0.5,0.5,10.8287,165.49944,4.15E-09,3.39E-09
4500000.085,260,0.404,0.596,7.59582,171.41676,4.60E-09,3.66E-09
4500000.085,260,0.308,0.692,6.5927,171.13234,1.93E-09,4.09E-09
4500000.085,260,0.212,0.788,4.51538,173.97656,3.28E-09,3.53E-09
4500000.085,260,0.116,0.884,6.30288,172.89856,2.90E-09,3.54E-09
4500000.085,260,0.02,0.98,1.16776,178.6243,3.57E-09,3.88E-09
